//DATASET,
//created,Tue, 07 Jul 2026 14:23:59 GMT

//TRACE,Waveform,Input 1
//SampledBand
#Time,Amplitude
#(ns),(a.u.)
0,0.000960797529922179
0.000588235294117645,0.00102703572197797
0.00117647058823529,0.00108655880468089
0.00176470588235294,0.00113729097822094
0.00235294117647058,0.00117736757622664
0.00294117647058823,0.00120502910131269
0.00352941176470587,0.00121827838641102
0.00411764705882352,0.00121580563650718
0.00470588235294116,0.00119704348690036
0.00529411764705881,0.0011618626341316
0.00588235294117645,0.00111041609379271
0.0064705882352941,0.00104379472147064
0.00705882352941174,0.000964038513754235
0.00764705882352939,0.000873903195772493
0.00823529411764703,0.00077645081393877
0.00882352941176468,0.000674804278898555
0.00941176470588232,0.000572648436702784
0.00999999999999997,0.000473367664926297
0.0105882352941176,0.000380811893615046
0.0111764705882353,0.00029815862359897
0.0117647058823529,0.000226694718000482
0.0123529411764705,0.000167067525561097
0.0129411764705882,0.000120286514150847
0.0135294117647058,8.66390216587518E-05
0.0141176470588235,6.52021348841306E-05
0.0147058823529411,5.4698707390075E-05
0.0152941176470588,5.3576258904831E-05
0.0158823529411764,6.05027726684797E-05
0.0164705882352941,7.38647877703362E-05
0.0170588235294117,9.21556591910633E-05
0.0176470588235294,0.000114820830174501
0.018235294117647,0.00014132592854823
0.0188235294117646,0.000171447686402922
0.0194117647058823,0.000205224307517114
0.0199999999999999,0.000242565016539374
0.0205882352941176,0.000283397488945567
0.0211764705882352,0.00032847456450222
0.0217647058823529,0.000378930045314065
0.0223529411764705,0.000435112409633725
0.0229411764705882,0.000497134405600983
0.0235294117647058,0.000565955787513766
0.0241176470588235,0.000642795943573948
0.0247058823529411,0.000728110929583251
0.0252941176470587,0.000821179021756318
0.0258823529411764,0.000920910377499911
0.026470588235294,0.00102564522712819
0.0270588235294117,0.00113251672208098
0.0276470588235293,0.00123834954283175
0.028235294117647,0.00134014418417621
0.0288235294117646,0.00143465061558782
0.0294117647058823,0.00151927010690443
0.0299999999999999,0.00159210450671912
0.0305882352941175,0.00165149987407822
0.0311764705882352,0.00169712402211296
0.0317647058823528,0.00172802250197774
0.0323529411764705,0.00174241152794795
0.0329411764705881,0.00173904420557603
0.0335294117647058,0.00171784893402855
0.0341176470588234,0.00168023564326
0.0347058823529411,0.00162860472009104
0.0352941176470587,0.00156506234526882
0.0358823529411764,0.00149133242131475
0.036470588235294,0.0014095873460509
0.0370588235294116,0.00132197506554846
0.0376470588235293,0.00123013570314535
0.0382352941176469,0.00113585137314077
0.0388235294117646,0.00104118465869533
0.0394117647058822,0.000947746571790888
0.0399999999999999,0.000857068092862534
0.0405882352941175,0.000769620619849591
0.0411764705882352,0.00068645457355457
0.0417647058823528,0.000609006907729212
0.0423529411764705,0.000537676254911232
0.0429411764705881,0.000472374047478361
0.0435294117647057,0.000412798701540104
