//DATASET,
//created,Tue, 07 Jul 2026 14:22:34 GMT

//TRACE,Waveform,Input 1
//SampledBand
#Time,Amplitude
#(ns),(a.u.)
0,0.000925424674376584
0.000588235294117645,0.000943566738656061
0.00117647058823529,0.000958487442885399
0.00176470588235294,0.000969363428341324
0.00235294117647058,0.000975315594670384
0.00294117647058823,0.000975172859610379
0.00352941176470587,0.000968048396871156
0.00411764705882352,0.000953487435322545
0.00470588235294116,0.000931445821860178
0.00529411764705881,0.0009021587245241
0.00588235294117645,0.000866041358744943
0.0064705882352941,0.000824169184143661
0.00705882352941174,0.000777749280203511
0.00764705882352939,0.000728737963541332
0.00823529411764703,0.000679100708743737
0.00882352941176468,0.000629883175960031
0.00941176470588232,0.000582007505857441
0.00999999999999997,0.000536759377003872
0.0105882352941176,0.000495088245137363
0.0111764705882353,0.000457341933914928
0.0117647058823529,0.000423754465951395
0.0123529411764705,0.000394320478860483
0.0129411764705882,0.000369151203728203
0.0135294117647058,0.000348170944121903
0.0141176470588235,0.000331322819456745
0.0147058823529411,0.000319031275996694
0.0152941176470588,0.000311544416098069
0.0158823529411764,0.000309200362675387
0.0164705882352941,0.000312208230102824
0.0170588235294117,0.000320530776207964
0.0176470588235294,0.000333877087064217
0.018235294117647,0.000352128355101647
0.0188235294117646,0.000375348431151056
0.0194117647058823,0.000402981512428798
0.0199999999999999,0.000434220955656107
0.0205882352941176,0.000468991357775073
0.0211764705882352,0.000507786923611183
0.0217647058823529,0.000550998836772535
0.0223529411764705,0.000598624340967649
0.0229411764705882,0.000650623228458122
0.0235294117647058,0.000706725721739573
0.0241176470588235,0.000766037946679699
0.0247058823529411,0.000827431984630805
0.0252941176470587,0.000889805008944954
0.0258823529411764,0.000951749115377331
0.026470588235294,0.00101214625940766
0.0270588235294117,0.00107014058975371
0.0276470588235293,0.00112494232185172
0.028235294117647,0.00117650081892792
0.0288235294117646,0.00122412700993091
0.0294117647058823,0.00126636241618342
0.0299999999999999,0.0013019445875721
0.0305882352941175,0.00133024418620146
0.0311764705882352,0.00135134856563907
0.0317647058823528,0.00136563986592193
0.0323529411764705,0.00137298639632191
0.0329411764705881,0.0013727782065076
0.0335294117647058,0.00136457000178349
0.0341176470588234,0.0013480424618453
0.0347058823529411,0.00132289515915238
0.0352941176470587,0.00128927471534562
0.0358823529411764,0.00124799050854973
0.036470588235294,0.00120009954206113
0.0370588235294116,0.0011470620157889
0.0376470588235293,0.0010901220347016
0.0382352941176469,0.00103109228349198
0.0388235294117646,0.000972019400962038
0.0394117647058822,0.000914338418179388
0.0399999999999999,0.000859243981342796
0.0405882352941175,0.000807624110908042
0.0411764705882352,0.000759815145457859
0.0417647058823528,0.00071546441262499
0.0423529411764705,0.000673865184398664
0.0429411764705881,0.00063409985070441
0.0435294117647057,0.000595697089535114
0.0441176470588234,0.000558973073061642
0.044705882352941,0.000524397113902649
0.0452941176470587,0.000492076460688136
0.0458823529411763,0.000462299037378232
0.046470588235294,0.000435388577123125
0.0470588235294116,0.000411833482131293
0.0476470588235293,0.000392126384383562
0.0482352941176469,0.00037649282696187
0.0488235294117646,0.000365793649214176
0.0494117647058822,0.000361839816950833
0.0499999999999998,0.000366078246585136
0.0505882352941175,0.000378901476964421
0.0511764705882351,0.000400566744762816
0.0517647058823528,0.000431497943487446
0.0523529411764704,0.000471757640812512
0.0529411764705881,0.000521330831971746
0.0535294117647057,0.000580048151479343
0.0541176470588234,0.000647628572240916
0.054705882352941,0.0007229143551696
0.0552941176470587,0.000803616459677597
0.0558823529411763,0.000887549998838727
0.0564705882352939,0.000972835500421064
0.0570588235294116,0.00105760098845315
0.0576470588235292,0.00113984793227869
0.0582352941176469,0.00121726508172604
0.0588235294117645,0.00128814141953774
0.0594117647058822,0.00135194109509524
0.0599999999999998,0.001408125139032
0.0605882352941175,0.00145650538523357
0.0611764705882351,0.00149762538274682
0.0617647058823527,0.00153236065620201
0.0623529411764704,0.00156125254437474
0.062941176470588,0.00158443563696581
0.0635294117647057,0.0016024025046734
0.0641176470588233,0.00161620697379194
0.064705882352941,0.00162707102010992
0.0652941176470586,0.00163581747539717
0.0658823529411763,0.00164296828209925
0.0664705882352939,0.00164892387340914
0.0670588235294116,0.00165407917305294
0.0676470588235292,0.00165886144984667
0.0682352941176468,0.00166276315228875
0.0688235294117645,0.00166464410424501
0.0694117647058821,0.00166431818468423
0.0699999999999998,0.00166216204965401
0.0705882352941174,0.00165852895220068
0.0711764705882351,0.00165360304746169
0.0717647058823527,0.00164759909601222
0.0723529411764704,0.0016411344120855
0.072941176470588,0.00163498830369416
0.0735294117647056,0.00163015909415013
0.0741176470588233,0.00162696678128315
0.0747058823529409,0.00162523467369321
0.0752941176470586,0.0016251292028955
0.0758823529411762,0.00162666985704143
0.0764705882352939,0.00162968279274585
0.0770588235294115,0.00163349797631141
0.0776470588235292,0.00163714662896256
0.0782352941176468,0.00163980306296932
0.0788235294117645,0.00164104349852146
0.0794117647058821,0.00164092389946001
0.0799999999999997,0.0016398356196282
0.0805882352941174,0.0016380915420367
0.081176470588235,0.00163553124698669
0.0817647058823527,0.00163176488973268
0.0823529411764703,0.00162694380819999
0.082941176470588,0.00162128243487968
0.0835294117647056,0.00161460501605193
0.0841176470588233,0.0016063953824345
0.0847058823529409,0.00159611020500326
0.0852941176470585,0.00158341700337755
0.0858823529411762,0.00156809849741737
0.0864705882352939,0.00154978388144102
0.0870588235294115,0.00152782898691613
0.0876470588235291,0.00150153634666155
0.0882352941176468,0.00147043135831564
0.0888235294117644,0.00143391210144895
0.0894117647058821,0.0013911482837074
0.0899999999999997,0.00134218722929844
0.0905882352941174,0.00128757615052578
0.091176470588235,0.00122776071822373
0.0917647058823527,0.00116249258344228
0.0923529411764703,0.0010919224158137
0.0929411764705879,0.00101768632187426
0.0935294117647056,0.000941823389756359
0.0941176470588232,0.000866438230437432
0.0947058823529409,0.000794158573622282
0.0952941176470585,0.000727362739009664
0.0958823529411762,0.000667881259165496
0.0964705882352938,0.000617376970498798
0.0970588235294115,0.000577632565302152
0.0976470588235291,0.000550549536316093
0.0982352941176468,0.000537375075479904
0.0988235294117644,0.000538197809868162
